Dataset,Noise Type,Algorithm,Linkage,Noise Level,Normalized Mutual Information
3lines,Gaussian,K-Means,Complete,0.25,0.2436 (0.03)
3lines,Gaussian,Agglomerative,Average,0.25,0.2218 (0.11)
3lines,Gaussian,Agglomerative,Single,0.25,0.1839 (0.09)
3lines,Gaussian,Agglomerative,Complete,0.25,0.1728 (0.05)
3lines,Gaussian,MultiMember,Average,0.25,0.265 (0.03)
3lines,Gaussian,MultiMember,Single,0.25,0.1203 (0.08)
3lines,Gaussian,MultiMember,Complete,0.25,0.2103 (0.04)
3lines,Uniform,K-Means,Average,0,0.582 (0.08)
3lines,Uniform,K-Means,Single,0,0.0949 (0.14)
3lines,Uniform,K-Means,Complete,0,0.4906 (0.12)
3lines,Uniform,Agglomerative,Average,0,0.5951 (0.05)
3lines,Uniform,Agglomerative,Single,0,0.4962 (0.03)
3lines,Uniform,Agglomerative,Complete,0,0.5503 (0.05)
3lines,Uniform,MultiMember,Average,0,0.5694 (0.06)
3lines,Uniform,MultiMember,Single,0,0.3152 (0.16)
3lines,Uniform,MultiMember,Complete,0,0.3914 (0.06)
3lines,Uniform,K-Means,Average,0.02,0.558 (0.06)
3lines,Uniform,K-Means,Single,0.02,0.0293 (0.02)
3lines,Uniform,K-Means,Complete,0.02,0.3881 (0.08)
