Dataset,Noise Type,Algorithm,Linkage,Noise Level,Normalized Mutual Information
3blobs,Quantization,K-Means,Single,0.05,0.9483 (0.01)
3blobs,Quantization,K-Means,Complete,0.05,0.9383 (0.02)
3blobs,Quantization,Agglomerative,Average,0.05,0.9527 (0.0)
3blobs,Quantization,Agglomerative,Single,0.05,0.9527 (0.0)
3blobs,Quantization,Agglomerative,Complete,0.05,0.8566 (0.12)
3blobs,Quantization,MultiMember,Average,0.05,0.96 (0.01)
3blobs,Quantization,MultiMember,Single,0.05,0.9459 (0.01)
3blobs,Quantization,MultiMember,Complete,0.05,0.9063 (0.1)
3blobs,Quantization,K-Means,Average,0.1,0.908 (0.09)
3blobs,Quantization,K-Means,Single,0.1,0.8649 (0.11)
3blobs,Quantization,K-Means,Complete,0.1,0.8355 (0.1)
3blobs,Quantization,Agglomerative,Average,0.1,0.842 (0.11)
3blobs,Quantization,Agglomerative,Single,0.1,0.7776 (0.1)
3blobs,Quantization,Agglomerative,Complete,0.1,0.8407 (0.11)
3blobs,Quantization,MultiMember,Average,0.1,0.9097 (0.09)
3blobs,Quantization,MultiMember,Single,0.1,0.9115 (0.09)
3blobs,Quantization,MultiMember,Complete,0.1,0.8707 (0.12)
3blobs,Quantization,K-Means,Average,0.15,0.9331 (0.0)
3blobs,Quantization,K-Means,Single,0.15,0.8974 (0.08)
3blobs,Quantization,K-Means,Complete,0.15,0.9316 (0.01)
3blobs,Quantization,Agglomerative,Average,0.15,0.9459 (0.0)
3blobs,Quantization,Agglomerative,Single,0.15,0.9459 (0.0)
3blobs,Quantization,Agglomerative,Complete,0.15,0.8989 (0.09)
3blobs,Quantization,MultiMember,Average,0.15,0.9363 (0.01)
3blobs,Quantization,MultiMember,Single,0.15,0.9459 (0.0)
3blobs,Quantization,MultiMember,Complete,0.15,0.9459 (0.0)
3blobs,Quantization,K-Means,Average,0.25,0.9356 (0.01)
3blobs,Quantization,K-Means,Single,0.25,0.7625 (0.08)
3blobs,Quantization,K-Means,Complete,0.25,0.9298 (0.01)
3blobs,Quantization,Agglomerative,Average,0.25,0.9371 (0.01)
3blobs,Quantization,Agglomerative,Single,0.25,0.9255 (0.0)
3blobs,Quantization,Agglomerative,Complete,0.25,0.7927 (0.09)
3blobs,Quantization,MultiMember,Average,0.25,0.887 (0.08)
3blobs,Quantization,MultiMember,Single,0.25,0.7289 (0.0)
3blobs,Quantization,MultiMember,Complete,0.25,0.7394 (0.19)
3lines,Gaussian,K-Means,Average,0,0.5547 (0.05)
3lines,Gaussian,K-Means,Single,0,0.1175 (0.14)
3lines,Gaussian,K-Means,Complete,0,0.3979 (0.1)
3lines,Gaussian,Agglomerative,Average,0,0.1818 (0.21)
3lines,Gaussian,Agglomerative,Single,0,0.4191 (0.21)
3lines,Gaussian,Agglomerative,Complete,0,0.4934 (0.13)
3lines,Gaussian,MultiMember,Average,0,0.5805 (0.05)
3lines,Gaussian,MultiMember,Single,0,0.344 (0.19)
3lines,Gaussian,MultiMember,Complete,0,0.5425 (0.08)
3lines,Gaussian,K-Means,Average,0.02,0.5429 (0.06)
3lines,Gaussian,K-Means,Single,0.02,0.0824 (0.14)
3lines,Gaussian,K-Means,Complete,0.02,0.4596 (0.13)
3lines,Gaussian,Agglomerative,Average,0.02,0.4029 (0.22)
3lines,Gaussian,Agglomerative,Single,0.02,0.3432 (0.17)
3lines,Gaussian,Agglomerative,Complete,0.02,0.3544 (0.19)
3lines,Gaussian,MultiMember,Average,0.02,0.5338 (0.08)
3lines,Gaussian,MultiMember,Single,0.02,0.1091 (0.19)
3lines,Gaussian,MultiMember,Complete,0.02,0.4249 (0.12)
3lines,Gaussian,K-Means,Average,0.05,0.5393 (0.02)
3lines,Gaussian,K-Means,Single,0.05,0.0113 (0.01)
3lines,Gaussian,K-Means,Complete,0.05,0.4683 (0.05)
3lines,Gaussian,Agglomerative,Average,0.05,0.3511 (0.03)
3lines,Gaussian,Agglomerative,Single,0.05,0.336 (0.07)
3lines,Gaussian,Agglomerative,Complete,0.05,0.2453 (0.09)
3lines,Gaussian,MultiMember,Average,0.05,0.5503 (0.03)
3lines,Gaussian,MultiMember,Single,0.05,0.0475 (0.07)
3lines,Gaussian,MultiMember,Complete,0.05,0.3259 (0.09)
3lines,Gaussian,K-Means,Average,0.1,0.4514 (0.02)
3lines,Gaussian,K-Means,Single,0.1,0.0081 (0.0)
3lines,Gaussian,K-Means,Complete,0.1,0.3668 (0.06)
